Timestamp Created,PlayTimeTotal,TranslatedReview
1745280177,315,"Das Spiel selbst ist Vampire Survivors sehr ähnlich und hat einige Aspekte, die ich für besser halte, zum Beispiel: flüssigeres Gameplay mit der Verwendung von Dashs und auch die Möglichkeit, den Mauszeiger als Fadenkreuz zu verwenden, was etwas von der Monotonie wegnimmt. Was ein wenig problematisch ist, ist die Balance von Gegenständen und Gegnern, bei denen man im Grunde genommen die Matrix neo sein und ausweichen muss. Außerdem sind die Gegenstände und ihre Kombos meist so schwach und vergesslich, dass man, ehrlich gesagt, das ganze Spiel mit nur einem Gegenstand durchspielen könnte. Da sich das Spiel aber noch in der Early-Access-Phase befindet und ich glaube, dass es im Laufe der Zeit verbessert werden kann, empfehle ich es Spielern, die Vampir-Survivors mit einem Hauch von Enter the Gungeon mögen..."
1745104941,399,"ein großartiges Spiel, um sich die Zeit zu vertreiben, einfache, aber gut gemachte Mechanik, sehr schöne Grafik und coole Levels, jedes mit neuen Feinden und neuen Mechaniken, die es zu bewältigen gilt"
1745008644,683,FUNNY
1744996562,405,insano
1744911903,453,"Herzlichen Glückwunsch an die Entwickler, ich fand das Spiel sehr unterhaltsam."
1744859202,1922,ich brauche einfach wieder eine Möglichkeit für Lieblingsrunen und eine schnelle Methode für Break-Runen. einige Nerfs im physischen Build wären gut.
1744821800,337,Ein großartiger Kugelhimmel. Mit verschiedenen Kombinationen von Builds und Spielweisen. Ich liebe es.
1744715308,92,"Wunderbar, schwierig und lustig, eine Mischung aus Spielen wie Sou Knight und anderen Handyspielen mit Vampirüberlebenden."
1744687295,705,Ein schönes Spiel.
1744579673,442,"Ganz im Stil von Vampire Survivor erfüllt Asgard Fall alle Erwartungen, die man an diese Art von Roguelike stellt. Einfach und befriedigend, das perfekte Spiel, um sich die Zeit zu vertreiben"
1744487202,968,"Ein sehr gut gemachtes Spiel. Man sieht viel Liebe, Hingabe und Sorgfalt bei der Entwicklung dieses Spiels."
1744463267,10659,Ich bin süchtig danach und warte auf das Update! Es gibt nur noch eine Klasse zu entsperren und machen es voll. Tolles kleines Spiel
1744349100,490,Ein Wunder!!!!!! empfehlen
1744252213,993,"Wenn die Demo gut war, ist dieser frühe Zugang großartig!

Ich hoffe, sie fügen bald die neuen Welten hinzu, denn ich freue mich schon auf die Zukunft dieses kleinen Spiels."
1744228472,2830,"Ich habe eine ganze Reihe von Stunden damit verbracht, die Demo zu spielen und auf das Spiel zu warten, und ich war wirklich nicht enttäuscht von dem Endergebnis der Veröffentlichung. Ich empfehle das Spiel jedem, der bereits Spaß an Roguelikes hat oder diese Art von Spiel kennenlernen möchte.

Das Spiel hat eine Karte, auf der man sich sehr leicht bewegen kann; die Feinde, die auf den Bildschirm kommen, sind sehr intuitiv und man lernt ihre Mechanismen in einem kurzen Durchlauf, obwohl der Schwierigkeitsgrad nicht schnell ansteigt, man muss in der Entwicklung seines Charakters vorankommen, um die Wellen mit Leichtigkeit zu überstehen.

Die Waffenkombinationen sind sehr gut und das schafft ein gutes Gefühl der Individualität, wenn man nur die Waffen wählen will, die einem gefallen und nicht die ""Meta""-Waffen."
