Timestamp Created,PlayTimeTotal,TranslatedReview
1745537530,504,"Es ist ein gutes Spiel, es hat mir gefallen. Nettes Dual -Power -System, Fähigkeiten. Schwierigkeit liegt in den Händen des Benutzers, aber Bosskämpfe sind zu einfach"
1745531791,1145,"Wirklich lustige Überläufe wie.  Ich habe viel Spaß damit.  Die Entwickler sind verlobt und verbessern das Spiel.  Das Warpaint -System ist ebenfalls interessant.  Es macht Spaß insgesamt und von den besseren Überlebenden von Survivor -ähnlich, die ich ausprobiert habe."
1745519606,100,"Sehr lustige ""Überlebende-ähnliche"" mit erfrischenden und innovativen Mechanik und einen fantastischen Pixel-Kunststyle in einer nordischen Umgebung!"
1745512578,68,"Angenehme visuelle und Klangbegannung. Klares und angenehmes Gameplay. Aber bitte fügen Sie eine lokale Genossenschaft für 4 Personen hinzu, daher wird das Spiel noch angenehmer."
1745498360,1391,
1745418829,979,Babysel
1745406830,673,Hübsch
1745377077,264,Variieren Sie lustiges Spiel. Dieses Spiel kann auf meinem variablen schlechten und alten PC bis zu einem 10/10 -Spiel abschneiden. :P
1745356353,228,"Was für ein fantastisches Spiel habe ich eine tolle Zeit, aber bitte fügen Sie weitere Synergien hinzu, ich brauche Super Wölfe !!"
1745349675,333,Gooood Vampir wie Spiel
1745346201,961,Es macht Spaß
1745345421,627,Habe dieses Spiel wegen Wnaderbots und ich habe es geliebt und ich freue mich auf weitere Inhalte!
1745332941,252,"Bisher ist es eine solide Grundlage, ich mag die Fähigkeiten und den Meta -Fortschritt, an dem jeder Charakter gut zu spielen ist, aber das Netz von Wyrd braucht wirklich etwas Arbeit. Es muss wirklich die Möglichkeit werden, Wyrd -Knoten zu ersetzen oder zu verlegen, die Sie blau Kristalle kosten könnten, oder auch die Fähigkeit, sie mit diesen blauen Kristallen zu verbessern."
1745245600,4301,10/10
1745245431,1432,"fühlt sich poliert.
Hat einen guten Lauf und Meta -Fortschritt. 
Hat zusätzliches Prestige -ähnliche Modifikatoren für eine zusätzliche Herausforderung.
bekommt nicht alt viele verschiedene Builds und mögliche Kombinationen.
Fun -Spiel, mit einzigartigen Mechanik."
