Timestamp Created,PlayTimeTotal,Recommended,TranslatedReview
1745527825,171,True,ein schmackofatz
1745514988,754,True,Mega
1745481721,905,True,"Spaß kleines Spiel
Ich hoffe, es wird mehr Inhalt geben"
1745434747,24,True,"Dieses Spiel beinhaltet eine sehr große Map wenn man bedenkt das man ein Kleiner Krieger ist und die Fähichkeiten in diesem Spiel sind sehr gut einsetzbar dennoch wir des immer Schwieriger je weiter man kommt. Es kommen dann z.B. kleine Laufende Pilze. Aber egal im grunden und ganzen macht es mir spass kommt drauf an ob es euch Spass macht.

Müsst ihr Wissen."
1745424366,1292,True,Darm
1745415619,1548,True,"es is abwechslungsreich und gute Mechanik, sowie gute Kombis der Fähigkeiten. Türlich is manches verbesserungswürdig, aber dies sind nur kleien Dinge"
1745411393,163,True,"Cooler Aussehen des Spiels und herausfordernde Bosskämpfe.
Eines der besten Spiele seiner Art !!!"
1745404601,1466,True,"⭐️⭐️⭐️⭐️⭐️ (5/5)

Kam für die nordischen Vibes, blieb, weil Rngesus mir einen abgenutzten Blitzbau gab, der irgendwie alles in Sichtweite geschmolzen hat.

Asgards Fall ist maximal roguelische Energie:
🪓 Schwach anfangen
💀 sterben
⚡️ Erhalten Sie ein zufälliges OP -Upgrade
🔥 Mach versehentlich Gott
☠️ sterben sowieso zu einem Ziegendämon mit 3 Gesundheit übrig

Keine Geschichte, keine Handholdung, nur Stimmung, Gewalt und gelegentlich: ""Wie funktioniert dieser Aufbau überhaupt?"" Moment. Es ist lustig, in der besten Weise chaotisch und gefährlich süchtig.

Wenn Sie dumme OP-Builds, Last-Sekunden-Kupplungen und um 3 Uhr morgens „One More Run“ schreien-dies ist Ihr Spiel.

10/10, RNG hat mich gebrochen und ich mochte es."
1745403203,721,True,"Absolute Empfehlung für alle, die Survivors-Like feiern! Obwohl sich das Spiel aktuell noch im Early Access befindet, wird hier schon super viel Content geliefert: Drei Charaktere, einige Karten, mehrere Meta-Progression Skill-Trees und eine Fülle an unterschiedlichen Gegnern, Bossen und die Möglichkeit sich vor Beginn jeder Runde mit Blutopfern selbst das Leben zur Hölle, äh, Valhalla zu machen.
Auf der anderen Seite habe ich aber auch Verbesserungsvorschläge und Ideen. Ich hoffe die Entwickler lesen das auch:
Die Menüführung fühlt sich manchmal janky an, ist nicht so intuitiv: Menüs lassen sich oft nur öffnen, wenn ich zuerst ein Anderes Schließe. Da wäre es flüssiger von Jedem Menü aus Jedes Menü öffnen zu können. Das Kompenduum Menü ist unnötig versteckt.
In vielerlei Hinsicht würde ich das Game gerne sowohl nur mit der Maus, als auch nur mit der Tastatur spielen können, Runen z.B. auch mit dem Mausrad rotieren und mit Rechtsclick löschen. Dass man Runen nur mit ESC löschen kann, hat manchmal dazu geführt, dass ich versehentlich das Runenmenü verlassen habe.
Balance: Aktuell kommen mir bestimmte Kombos so OP vor, dass alles andere nicht viable ist. Ich skille fast immer zwangsläufig auf physische Abilities, weil nur die den Knoten haben, der den Cooldown aller Fähigkeiten verringert, was irgendwann so krass snowballed, dass alles andere egal wird. Wenn ich auf Statuseffekte gehe und versuche darüber mein Angriffstempo zu erhöhen, bin ich immer am Boss gescheitert (Knoten, der Angriffstempo pro Gegner mit Statuseffekt erhöht könnte dies auch ""hoch zwei"" machen bei mehreren Effekten auf einem Gegner).
Auch finde schade, dass wenn man eine Fusion erreicht, man diese nicht weiterskillen kann oder beide Fähigkeiten zusammengelegt werden, wodurch wieder ein Fähigkeitsslot frei würde und man weitere Fusionen versuchen könnte zu erreichen. Vielleicht sogar Fusionen fusionieren?:o Da stelle ich mir noch einen komplexeren Skillbaum vor. Insgesamt finde ich die Auswahl an Fähigkeiten und Fähigkeitsupdates noch begrenzt. Ich würde mir mehr Updates wünschen, die das Potential haben zu snowballen und gemeinsam würdige Effekte hervorzurufen. 
Für mehr Rückmeldung baut gerne ein Reviewtool ein, was man z.B. nach jeden Run ausfüllen darf^^ LG Krawnless"
1745402626,808,True,"Geiles Game! Die Funktion mit den Runen am Anfang ist richtig geil. Der Berserker mit Blut und Explosion macht mit Hand of Blood sehr viel Spaß. Jetzt auch mit Steamcloud mach es auch auf dem Steamdeck Spaß. 

Ich kann es empfehlen, aber muss ihr Wissen! XD"
1745371143,655,True,"Für Fans solcher Spiele ein echter Suchtmacher.
Wer diese Art von Games liebt, wird hier definitiv auf seine Kosten kommen. Aber auch für Neulinge, die mal reinschnuppern wollen, absolut empfehlenswert.

Ich freue mich schon auf kommende Updates und Patches!"
1745362965,402,True,"Wenn Sie nordische Asche mögen, ist dieses Spiel genau das Richtige für Sie."
1745348028,1095,True,"Geiles Game, freue mich auf alle Updates!"
1745347136,583,True,Spitze
1745341812,28,False,"Ich werd nicht warm mit dem Spiel im aktuellen Zustand. Die Runs sind von Beginn an öde und es gibt viel zu wenig auf der Karte. Wenn ihr wenig Content anbietet, dann priorisiert doch bitte die Erkundung damit die fehlenden Build-Möglichkeiten zumindest nicht direkt durchscheinen. Werde es in 2-3 Monaten nochmal probieren, aber zum derzeitigen Zeitpunkt kann ich es leider nicht empfehlen."
1745319365,598,True,Super Spiel nur zu empfehlen
1745258210,1628,True,"Macht einfach richtig Bock! Der Skilltree ergibt zum Glück endlich mal Sinn. Der Rundenskilltree ist eine richtig geile Idee – ich liebe alles daran. Die Fähigkeiten knallen und die Skill-Kombos fühlen sich richtig wertig an! Die Runentasche habe ich zwar erst spät gecheckt, aber die ist eine top Idee fürs Lategame. Die Übersicht in Floor 3 mit +50% Gegnern ist zwar hart chaotisch, aber irgendwie hat’s mich irre lachen lassen – also auch alles richtig gemacht! xD
Hat mich bisher in keinem Punkt enttäuscht. 10/10 für das Genre."
1745257607,1710,True,SPITZE
1745256107,745,True,wer solche spiele mag dem wird das gefallen
1745242855,825,True,Top Spiel
1745238206,458,True,"Das Spiel ist sehr lustig und Innovativ, ich würde mir für den Nächsten Patch aber eine sortier Möglichkeit für die Runen Wünschen weil sie sonst schnell unübersichtlich werden"
1745233768,939,True,"Das Spiel macht absolut Spaß und ist auf einem guten Weg.

Die magnetischen Schädel könnten etwas häufiger droppen und es wäre schön, wenn die Balance der einzelnen Fähigkeiten weiter verfeinert werden. Die Balliste macht angemessen Schaden, während die Bossfights mit anderen Fähigkeiten eine gefühlte Ewigkeit dauern können.

Mfg 
Macht weiter so"
1745232083,2182,True,Jo
1745230035,731,True,"Hallo,
Das Game macht echt richtig Spaß!
Cool wäre, wenn man im Inventar die Runen Sortieren könnte. damit man sich die Runen passen zu verschiedenen Builds Sortieren kann.
Aber auch so Bietet das Game schon sehr viele coole Komponenten.
Gude"
1745202866,942,True,"Gutes spiel für den anfang 

-man könnte mehr fähigkeiten upgrades ect ein führen würde zu mehr abwechslung führen 
-Mehr Runen seiten wären schön das man z.b eine zeite für Fire shock und Cold hat 
-Runen sortieren wäre auch noch ein punkt sodass man Legendäre Epic und normale runen im inventar sortieren kann 

hoffe das bald neue Level dazu kommen kein bock dauerhaft beim endboss in level 4 geoneshooted zu werden x)"
1745197090,311,True,"3,5 / 5"
1745191193,961,True,Sehr geiles Game! Viel potential nach oben und bisher läuft es spitze. Hätte noch keinen spürbaren Bug gemerkt und die verschiedenen Inhalte machen wirklich Spaß.
1745184837,1024,True,geil
1745180610,829,True,"Super Spiel, sehr guter Anfang für eine Early-Access-Phase!"
1745172380,903,True,"Eigentlich mag ich solche Spiele nicht so gerne. Aber weil Hänno das beworben hat dachte versuche es mal. 
Und es macht richtig fun. Es ist so satisf. wie man Combos erstellen kann und dann einfach ein riesen Gemäzel hat. 9/10. (Die Musik ist mir etwas zu soft)"
1745153270,947,True,"Das Spiel macht nicht nur Spaß, es ist auch noch super Toll"
1745149970,624,True,macht laune
1745140178,1431,True,"Zu aller erst: Sehr geiles Game!
Ich habe bereits in die Demo mehr als 20 Std. reingesuchtet. Das RNG macht es manchmal sowohl bei den Knoten, sowie bei den Skills etwas fordernd, für mich persönlich aber ein umso größerer Ansporn. 
Durch den immer höheren selbsteinzustellenden Schwierigkeitsgrad ist auch eine dauerehafte Zockung weiterhin suchtgefährdend.
Spannend wäre es für mich, was in Zukunft noch eingebaut wird. Für mich persönlich wäre eine Speicherung der Runen als Blaupause sehr interessant, um so verschiedene Muster für verschiedene Builds zu speichern. 
Bin auch sehr gespannt auf die nächsten Welten und Bosse.

Oooooooodiiiiin!!!!"
