Timestamp Created,PlayTimeTotal,TranslatedReview
1745323274,372,"Gut gemeldet. Es reicht noch nicht aus, um es noch zu genießen, aber es ist vier Stunden lang attraktiv. 
Die Kraft der einzigartigen Knoten war so stark, dass es einige ungewöhnliche Beschreibungen gab, nicht nur die Skalierung von Dill durch Klicken auf Fähigkeiten oder passive.

Die Erholungsmittel sind auch gut ausgestattet, aber wenn mein Deal nicht so stark ist, werden die Mobs in Echtzeit stark sein, sodass Sie ein wenig eng spielen müssen.
Trotzdem ist die Lyrolküste sehr billig, sodass Sie jedes Mal, wenn Sie ein Level haben, 2 bis 3 Mal werden.
Obwohl es ein Spiel mit viel Geschick und passiven Optionen ist, war es aufgrund der gewünschten Richtung leicht, den Charakter zu kultivieren.

Leider ist das Spielvolumen unvermeidlich.
Ich habe es ungefähr 6 Stunden lang genossen, aber der Charakter wurde freigeschaltet und es war ein landwirtschaftliches Material für den Rest des Musters, das entsperrt war.
Es gibt immer noch einige Dinge, die ich freischalten möchte.

Die erste Ausgabe, die Zähne des Riesen, die Zähne des Riesen, der Whirlpool = die Explosion des brennenden Chaos
Es war der lustigste Knoten, der den gesamten Schaden an dieser Fähigkeit sofort verursachte.

Es ist billig, also können Sie es für eine Weile kaufen und später versuchen."
1744938546,825,"Ein Spiel wie ein Hund. Es gab einen Fehler, der nicht verbunden werden konnte, wenn ich seit der Demo Hangul entschied. Hast du es noch festgehalten? Von Symptomen zu Fehlermeldungen. Ich weiß nicht, was sich von der Demo unterscheidet. Ist es ein zusätzlicher Charakter? Es ist nur ein Müll selbst."
1744709634,1144,Hände zu tun
1744658876,459,"Äh, es scheint die besten Schlangendokumente zu sein, die nach der Schlange erschienen.

Es ist ein Spiel, das ziemlich erwartet wird."
1744621751,1600,"Das Spiel macht Spaß. Aber der Inhalt fehlt und es gibt zu viele unvollendete Aussehen.

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------

1. Ich werde nicht von koreanischer Sprache unterstützt. Die Übersetzung befindet sich auf der Ebene des Google -Übersetzers, es gibt einen Teil, der nicht übersetzt wird, und es gibt ein Feld ohne Text. (Wenn Sie es in Englisch ändern, können Sie es sehen)

2. Es gibt keine Erklärung für das erste Tutorial. 

3. Famick von Boss ist nicht klar. (Es gibt keine Ahnung, sondern ein Blitz in Banaheim)

4. Das Gleichgewicht ist ein Chaos. Der grundlegende Angriff der drei Charaktere ist Physik. Wenn Sie also ein anderes Deck -Gebäude wünschen, müssen Sie den Standardangriff und das Spielen wegwerfen, aber Sie können den Standardangriff nicht ausschließen, wenn Sie ein Level -up -Upgrade auswählen. Wenn Sie jedoch das Muster des ""Gesichts -Make -ups"" auswählen, hauptsächlich basierend auf Sub -Serien wie Beschwörung und Fernkampf, wird der zusätzliche Schadenseffekt von ""Thread"" auch mit Nachteilen gespielt, da es nur vorhanden ist.

5. Unfreundliches Bild. Die Grafiken bestehen aus Punkten, und es gibt keinen Text in der Kombination des Spiels. Es erweitert nur das kleine Punktbild und zeigt den Namen der Fähigkeit an. Außerdem können Sie die Kombination des Spiels während des Gameplays nicht bestätigen. 

6. Inventarabteilungen sind zu klein, der Grad des ""Gesichts -Makeups"" wird nur durch die Anzahl der Effekte bestimmt, und der Effekt wird in T1, T2 und T3 unterteilt, aber selbst bei hochwertigen Mustern werden alle vier Effekte aus T1 -Grade -Effekten und das niedrigste Gradmuster mit einem T3 -Noten -Effizienz erzeugen. Bewertung, Symbole und UI -Sichtbarkeit sind die schlimmsten.

8. Wenn Sie nichts wissen, ist es ein Spiel, das nicht abgeschlossen ist, auch wenn Sie nichts wissen, wissen Sie nichts.

Ehrlich gesagt, wenn es sich um eine kostenlose Demo -Version handelt, denke ich, dass es eine Qualität ist, zu begrüßen, aber wenn Sie der Meinung sind, dass es sich um eine kostenpflichtige Version handelt, empfehle ich Ihnen, noch einmal nachzudenken."
1744563567,1434,"Es gibt immer noch nur vier der neun Karten, und es gibt verschiedene Builds ...
Es war ein wenig ärgerlich, dass viel fehlte, und es gab keinen Tutor, also war es ein bisschen ärgerlich, aber es gab keine Schwierigkeiten, auf das Spiel zuzugreifen.


Runeneinstellungen sind schillernden !!!! Bitte fügen Sie ein paar Rune Rune -Batch -Tasten zum Inventar hinzu !!! Inventar ist auch sehr klein, also schade !! Fügen Sie eine voreingestellte Funktion hinzu! Wenn Sie es recyceln, ist es ein anderer Charakter, aber es ist eine Verbesserung, die wieder in einen Krieger geändert wird !!

Ja, alle sind alle gut.


Notizblock ㅡ
Höchstgeschwindigkeit: 500%
Maximale Ausweichen: 33%
Maximale Geschwindigkeit: 150% (begrenzt auf Patch)"
1744542250,365,Ähm ... ich empfehle es nicht.
1744531465,1305,"Wenn die Cloud -Speicherfunktion nicht formatiert ist, startet sie neu und beendet die Leistung.
Schauen Sie sich den Patch an"
1744525212,691,"Gut gefertigte Spiele mit verschiedenen Systemen, die sich von gemeinsamen Schlangenbüchern unterscheiden
Zusätzlich zur Stärkung im Grunde genommen im Haupt
Runen werden produziert und als Ressourcen festgelegt, die während des Spiels gesammelt wurden und
MADD -Einstellung, die je nach Charakter unterschiedlich sein muss
Es ist frisch, weil es nicht nur ein System ist, das das Niveau einfach erhöht

Die folgende Fähigkeit wird durch Erhöhen von mehr als 5 Wiederholungen ausgelöst.
Beispiel) AX wirft 5 Rep+Dankum geworfen 5 Rep

Leviathan Axenwurf (kalt, lang -Dolch -Dolch -Würfe (Physik, Fernkampf)
➡️ -Scons zerbrochen Leviathan Axt (kalt, Physik, entfernt): Dolch aus der Wurfaxt abgefeuert

Feuerwerk Axt (Feuer, Explosion) + Lokis Strom willkommen (Blitz, Fernkampf)
➡️ Elektrische Axt (Flamme, Blitz, Entfernung, Explosion)

Riesenzähne (Feuer, Schließen) + Wirbel Schneiden (Physik, Nähe)
➡️ Verbrennende chaotische Klinge (Flamme, Physik, Nähe, Aura)

Skadys Eispfeil (kalt, rang) + gungir (blitzend, Fernkampf)
➡️ Odins Eispfeil (kalt, blitzend, langer Reichweite)

BALISTA (Physik, Beschwörung) + Perücke Dramil's Puls (Blitz, Fernkampf)
➡️ Storm Pirer (Blitz, Physik, Beschwörung, Fernkampf)

Geteiltes Land (Physik, Nähe) + Gletscherzerstörung (kalte Luft, entfernt)
➡️ Frostpin Ring (Physik, Kälte, Nähe, Klingel)

Penrirs Zehennägel (Physik, Rang) + Thors Wut (Blitz, Fernkampf)
➡️ Thundong Naws (Blitz, Physik, Fernkampf)

Soures Flammen (Flamme, Klingel) + Eistaufe (kalt, eng)
➡️ Health Tom (Flamme, kalt, abgelegen, gerufen)"
1744505123,509,"Asgards Fall ist abgestürzt. Ein Crash -Bericht wurde an den Entwickler gesendet!
Fehler:
L32 Argument ist undefiniert

Was ist das? Entwickler!"
