Timestamp Created,PlayTimeTotal,TranslatedReview
1745185715,967,"Die Beta -Version war etwas weniger als Pixel, aber es gab viele Male mehr Möglichkeiten! Wir warten auf neue Dinge und ein bisschen aktualisierte Grafiken)) Ich mochte das Spiel, spielt mit einem Knall, fängt ein!"
1745144194,1417,"Jungen und Mädchen, du bist gutaussehend, sage ich dir!
Ich kenne das Spiel mit Herkunft 
Alle Erwartungen werden übertroffen, das Spiel ist hoch, ich hoffe auf seine weitere vollständige Entwicklung
Klassenkrieger Kaif
Archer wird gehen (AAAA -Frau: D)
Hast du Kolumanzen gesehen? Dies ist ein Yoba Magic Minigan, es war nicht in anderen Versionen, es ist interessant erfunden (Sie eilen mit Status, Sie machen einen Hilk, Sie legen die Totems in ein Tamburin)
Nach ihrem Gleichgewicht scheint alles in Ordnung zu sein, das heißt, Sie können den Kabine auf irgendeiner brechen, aber als wäre ein Krieger stärker, aber noch besser, der erste, als ob, verbrannt würde))
Ein Netz mit Fähigkeiten ist leicht zu verstehen, aber wahrscheinlich nicht so viel und vielfältig, wenn Sie in allen verfügbaren Welten mindestens 20-55 Opfer nach Altar haben
Eines ist sooooo peinlich, dass die kombinierten Fähigkeiten nicht mehr als 2x gemacht werden können. Wenn Sie mit 2 Überschwemmungen spielen, macht es in diesem, nein, es wäre ein Hoch
Im besten Fall hätten sie als Idee natürlich ein „allgemein
Der Austauscher wäre gut, ich werde 10k+ eine regelmäßige Ressource von jeder Welt benötigen, um die gepumpteten Perser nach diesem Prinzip zu erfüllen - 1000 in den nächsten 100 in den letzten 10 in der letzten in der letzten

Deine Münzen, das Spiel ist definitiv wert!"
1744979578,491,Ich freue mich wirklich auf die Vollversion !!!
1744958464,338,Sehr aufregend.
1744847263,882,"Das Spiel ist cool, ich mochte es, da es die Zukunft von TC hat. Ihre Ruten aktualisieren sie ständig.
Und was die Entwicklungen betrifft, ist eine überzeugende Bitte, den Schicksalsknoten zu nieren, weil es das Gleichgewicht in 10 Sekunden bricht, 500% der Angriffsgeschwindigkeit und im Zusammenhang mit Ausweichen nur beschissen. In 10 Minuten ist Zakala 9000% ein Dizbalass. Für Entwicklungen: Ich bitte Sie, den Knoten des Schicksals zu spüren, weil es das Gleichgewicht bricht, Sie erhalten 500% Ihrer Angriffsgeschwindigkeit in 10 Sekunden und in Kombination mit beschissenem. Ich habe in 10 Minute 9.000% erreicht, was ein Ungleichgewicht ist."
1744748851,269,"Ein interessantes Spiel, das auf der skandinavischen Mythologie basiert"
1744729130,1230,"Gutes Spiel, Ty)"
1744620608,895,"Das Spiel ist gut, dynamisch und interessant für das Pumpen.

Aber ein großer Minus ist, dass es keine Cloud -Storage gibt. Es gibt keine Möglichkeit, zwischen verschiedenen PCs weiterzugehen."
1744557469,170,"Wie viele ähnliche Spiele in diesem Genre hat es Leistungsprobleme, wenn ein Stapel von Monstern auftritt. (Wenn es aus dem Menü nach Ebenen kompliziert wird).
Es gibt überhaupt kein Geld, Sie durchlaufen zwei Ebenen und sind weiterhin uninteressant."
1744557401,697,"Ein gutes Spiel für diejenigen, die dieses Genre lieben. Eine Vielzahl von Waffen, drei Charaktere mit eigenen Entwicklungszweigen, angenehme Soundeffekte. Ich empfehle es!"
1744541756,262,Zufällig und eher roh
1744397037,1177,"Chefs sind sehr hart
Und warum kann ich keine Fähigkeiten hervorheben, die für die Weiterentwicklung erforderlich sind?
Bitte fügen Sie weitere Registerkarten für Warpaint hinzu (für andere Charaktere Build)"
1744385082,408,Niederlegen
