Timestamp Created,PlayTimeTotal,TranslatedReview
1745584365,663,"Dies ist die beste Erfahrung, die ich in einem ähnlichen Spiel hatte, das kollisionsfreie Design ist sehr angenehm zu spielen, und die Sprühfarbe und Knoten sind durchdacht genug, ich hoffe, mehr Gameplay-Inhalte hinzuzufügen, um die Schwierigkeit herauszufordern und die bd bauen"
1745503917,1191,"Es macht Spaß, aber warum gibt es so wenige Karten, am Ende der vierten Karte dachte ich, ich würde ständig KO gehen, nur um herauszufinden, dass es daran lag, dass es danach keine Karten mehr gab!"
1745499567,674,"Steamdeck springt automatisch zurück Ich weiß nicht, was der Grund ist, es gibt überhaupt keinen Hinweis, nachdem ich das Spiel eine halbe Minute oder so gestartet habe, springt es zurück, habe es mehrmals versucht, der Rechner wurde auch neu gestartet. Ich kann nicht mehr spielen."
1745483629,297,"Das Spiel macht ziemlich viel Spaß, aber es ist schade, dass die Erfolge nicht auf Chinesisch sind."
1745466296,498,Es gibt noch viel Raum für Fortschritte.
1745459878,2568,"Tolles Produkt, macht Spaß zu spielen, hat einen gewissen Schwierigkeitsgrad und ist kein hirnloses Mähspiel."
1745426207,233,"Stärke und bd Formung ist zu zufällig, um viel Spaß mit Builds zu erleben"
1745412232,389,Es ist nicht witzig. Bringen Sie es nur halbfertig.
1745339545,459,1
1745260472,1928,"Spaß, diebischer Spaß, fühlt sich an wie Vampire Survivor + Online-Spiele"
1745260322,356,"Ich bin im Moment auf einen Bug gestoßen, ich bin ein Krieger der Stufe 11, Jäger der Stufe 4, Prophet der Stufe 15, aber meine Attributspunkte sind nur 14 für den Propheten, die Attributspunkte des Kriegers und des Jägers sind weg, Reset ist nutzlos, das bedeutet, dass mein Krieger und Jäger nutzlos sind, also kann ich nur den Propheten spielen."
1745248766,648,"Coole Bürste, sehr cool"
1745222373,611,"Das Spiel macht ziemlich viel Spaß, aber es hat so wenig Inhalt, dass es völlig unausgereift ist."
1745205108,1758,Zu wenig Inhalt.
1745179661,407,Ich habe 5 Stunden lang gespielt und nur einmal die Ultra-Arme kombiniert.
