Timestamp Created,PlayTimeTotal,TranslatedReview
1745231228,284,"Ich bin ein Fan von Horde Survivals, ich weiß nicht, wie viele Stunden ich Vampire, 20 min und vor allem Brotato gespielt habe... von den drei, die ich gesagt habe, ist dieses weit unten... ich denke, sie haben die Grundlagen, aber es fehlt etwas... vielleicht wird es mit der Zeit ""das"", das es einzigartiger macht."
1745040198,305,"es hat einige Details, die mich nicht überzeugen, aber es ist ein gutes Spiel, es hat viel Potenzial.
"
1745035855,528,"Gutes Spiel, das viele Stunden Unterhaltung bietet"
1744851350,927,"Ich habe es in der offenen Betaphase ausprobiert, die schon eine Weile her ist, und man kann die großartige Entwicklung sehen, die es genommen hat."
1744824756,959,Sehr süchtig machend.
1744746400,363,Gut
1744728998,762,"Es ist eines der besten Spiele, es gibt noch Raum für Verbesserungen, aber es hat eine Menge Potenzial."
1744596102,173,vampire survivor version vikinga 10/10
1744382909,51,"Ausgezeichnet!

https://youtu.be/ThaPx78mRd0"
1744328591,461,"tolles spiel, sehr unterhaltsam, es fehlt an inhalten. wir sollten auf neue updates warten."
1744238827,750,"Ich habe es gerade gekauft und einen Arbeitstag damit verbracht, die Meinung ist klar, wir müssen nur noch auf die Fertigstellung warten."
