Timestamp Created,PlayTimeTotal,TranslatedReview
1745139979,2093,"gutes Spiel
"
1745067027,1085,"Die 4. Stufe ist ein Plot-Kill, kannst du das wenigstens erklären?
Außerdem sind die Ausrüstungsrunen ohne Grund verschwunden, das ist auch zu lächerlich!
Zumindest ein Schuhwerk eine Rune Ausrüstung Spalte es, ändern Schuhe müssen alle Ausrüstung Runen zu entfernen und dann neu zu konfigurieren!"
1745049473,442,"Ich denke, dieses Spiel hat Potenzial, mit Ausnahme der Tatsache, dass das Spiel noch nicht fertig ist.
Der Kampf-Mechanismus des Spiels ist nicht schlecht, Zeichen, Fähigkeiten, Seile, die Kollokation der einzelnen Mechanismen ist ziemlich wichtig, und bestimmt auch die Stärke des Spielers sein kann, wo!

Wegen des hohen Limits des Spiels, denke ich, dass die Spielzeit der ersten Version etwa 3,5h~7h↑ beträgt.
Wenn Sie gute Fähigkeiten in jeder Hand haben, glaube ich, dass Sie die aktuelle Version des Spiels in 3h beenden können, wenn Sie Glück haben.

Es gibt jedoch noch einige Mechanismen, die verbessert und flexibler gestaltet werden könnten.
Es wäre zum Beispiel gut, wenn der Prozentsatz des Seils erhöht werden könnte, so dass das Seilsystem erweiterbar wäre.
Die Benutzererfahrung ist auch ein Bereich, in dem das Spiel mit ein wenig mehr Raffinesse angenehmer zu spielen wäre.
Ich glaube nicht, dass es noch Spieler gibt, die ihre Rucksäcke einen nach dem anderen abräumen wollen."
1745033626,244,"+Der Talentbaum im Büro ist kreativ, wir müssen darüber nachdenken, wie wir die Anordnung optimieren können.

-Es kann nur eine magische Fertigkeitskombination in einem Spiel geben, und oft können die Würfel die Kombination nicht treffen.
Es gibt zu wenige Fertigkeitskombinationen, und es fehlt das ""Wow""-Gefühl nach einer qualitativen Veränderung.
-Es gibt keine Möglichkeit, die Fertigkeiten und den Status des Charakters zu jeder Zeit zu überprüfen.
-Die Karte ist zu eintönig, und der Altar ist nicht notwendig.

Fazit: Zu wenig Abwechslung, zu viel Raum für Verbesserungen, im Moment den Preis nicht wert, schlage vor, es mit 50% Rabatt oder mehr wieder zu kaufen!"
1744795381,233,"Es fängt gut an, aber nach ein paar Stunden wird es langweilig und man muss so oft durch das erste Level wischen, dass es langweilig wird."
1744722269,1001,"Reden wir nicht darüber, wie mühsam das Farmen von Materialien ist.
Reden wir lieber über den Bogenschützen-Boss, dem ich im zweiten Level in 10 Minuten begegnen werde.
Er versteckt sich hinter einem Eisblock, die Angriffsanzeige ist bereits grün und er hat es trotzdem geschafft, mich mit einem einzigen Pfeil zu töten.
Die Grafik ist wirklich niedlich, aber der Rest des Spiels hält einfach nicht mit."
1744644195,274,"In der Beta gab es nicht viel zu spielen, deshalb finde ich es ziemlich gut.

Aber nach dem offiziellen Start fand ich es langweilig..."
1744559378,1265,"Im Gegensatz zu anderen Rasenmäherspielen, bei denen man den Rasen bequem mähen kann, ist dieses Spiel schwer zu beginnen.
Natürlich kann man immer noch bequem mähen, aber es erfordert, dass man das Spiel in den ""späteren Phasen"" spielt.
Du bist nur ein Stück Scheiße, wenn du deine Fähigkeiten und Runen noch nicht richtig beherrschst, und du hast nur sehr wenige Mittel, um dein Blut zurückzubekommen.
Nur zur Erinnerung: Du wirst nicht verletzt, wenn du ein Monster mit deinem Körper triffst, du musst nur ihren roten Angriffsbereichen ausweichen, also ist Laufgeschwindigkeit sehr wichtig."
1744481039,3324,"Ich kann nicht glauben, dass es keinen Cloud-Speicher gibt, ich bin verblüfft .......
Aber insgesamt macht es Spaß und hat einen guten CP-Wert für den Preis."
1744479716,591,"Nach einem Spiel öffne ich die Gegenstandsleiste, um zu sehen, was ich gefunden habe, und dann verschwinden die Runen in meiner Ausrüstung. Ich bin also ein Herzensbrecher der Bauern?"
1744460642,171,"Ein weiteres Spiel, das einen zum Farmen zwingt, um durch die Level zu kommen.
Es gibt nur ein paar gute Fähigkeiten, und Sie können nicht einmal ausweichen, ohne mit einer konstanten Geschwindigkeit laufen.
Es gibt nicht viel Inhalt, und es ist ein Schmerz in den Arsch, um die Zeichen freizuschalten."
1744420717,963,"Es ist gar nicht schlecht, aber die ganze Sache ist scheiße.
Aber die gesamte Bedienung ist scheiße.
Im Spiel muss man zum Bestätigen die Maus drücken, kann man nicht zum Bestätigen Enter drücken und zum Auswählen von Zügen auf QWE wechseln?
Man kann die Runen nicht mit einem Klick sortieren, man muss sie einzeln verkaufen.
Wenn man Runen ändern will, muss man die Funktionen einzeln durchgehen.
Ich kann die Tabelle für die Synthese von Kostümen im Spiel nicht sehen.
Es heißt, dass es 4 Zonen gibt, aber der 2. König in der 4. Zone hat mich direkt vor meinem Gesicht getötet.
Ich habe es schon ein paar Mal gespielt und weiß immer noch nicht, wie ich da durchkomme. Ich weiß nicht, ob es ein Plot-Kill ist oder nicht, aber er hat es nicht gesagt."
1744297508,1704,"Ich bin ein wenig enttäuscht, dass es kein Cloud-Backend gibt..."
1744282388,213,Einfach und unterhaltsam
1744244854,1680,"Beim Spielen auf Steam-Deck sind die Zeichen so klein, dass man sie nicht lesen kann, und es gibt so wenig Inhalt."
1744227455,549,"Nach der Fertigstellung der Struktur sind die Monster sehr einfach zu streichen!
Skill-Synthese-Tabelle kann nicht innerhalb des Spiels angezeigt werden, nur verpixelte Skill-Symbole außerhalb des Spiels sind auch sehr unklar Zu optimieren!"
