Timestamp Created,PlayTimeTotal,Recommended,TranslatedReview
1745584365,663,True,"Dies ist die beste Erfahrung in dem ähnlichen Spiel. Das kollisionsfreie Design ist sehr erfrischend zu spielen, und die Sprühfarbe und die Knoten sind auch nachdenklich genug. Ich hoffe, mehr Spielinhalte hinzuzufügen, Schwierigkeiten herauszufordern und BD aufzubauen"
1745503917,1191,True,"Es macht Spaß, aber warum gibt es so wenige Karten? Am Ende dachte ich, ich wäre immer auf dem vierten Bild geklopft, aber es stellte sich heraus, dass es daran lag, dass es kein Bild dahinter steckte."
1745499567,674,False,"Steamdeck stürzt automatisch ab. Ich weiß nicht warum, es gibt überhaupt keine Aufforderung. Ich stürzte ungefähr eine halbe Minute nach Beginn des Spiels ab. Ich habe es mehrmals versucht und es war dasselbe. Gleiches gilt für den Neustart der Maschine. Kann nicht mehr spielen"
1745483629,297,True,"Das Spiel macht Spaß, aber leider ist die Leistung nicht in Chinesisch"
1745466296,498,True,Viel Raum für Verbesserungen
1745459878,2568,True,"Sehr gutes Produkt, sehr lustig, und es ist kein hirnloses Spiel aus Mähung."
1745426207,233,False,"Die Stärke und die BD -Formung sind zu zufällig, und Sie können nicht zu viel Spaß am Bauen erleben"
1745412232,389,False,"Kein Spaß, nehmen Sie einfach das halbfertige Produkt"
1745339545,459,True,1
1745260472,1928,True,"Spaß, es macht Spaß, es fühlt sich an, als würde man Vampire Survivor + Online -Spiel spielen"
1745260322,356,False,"Ich habe einen Fehler begegnet. Derzeit bin ich ein Kriegerstufe 11. Hunter Level 4. Prophet Level 15. Aber meine Attributpunkte sind nur 14. Die Attributpunkte des Kriegers und des Jägers sind verschwunden. Es ist nutzlos, sie zurückzusetzen. Es bedeutet, dass mein Krieger und mein Jäger behindert sind. Ich kann nur den Propheten spielen."
1745248766,648,True,"Sehr cool, sehr cool"
1745222373,611,True,"Das Spiel ist sehr interessant, aber es gibt zu wenig Inhalt, es ist komplett halbfertig"
1745205108,1758,False,"Zu wenig Inhalt,"
1745179661,407,False,"Nachdem ich 5 Stunden lang gespielt hatte, spielte ich zusammen super Kampfkünste."
1745157191,556,True,"Schlafenszeitspiele, Spaß"
1745156752,196,True,Hao
1745148155,1295,True,Spaß und lustige Entwickler schätzen auch die Vorschläge der chinesischen Spieler ~
1745145664,341,False,"Im Vergleich zum Vampirkörper ist der Abschlussgrad zu niedrig. Das Highlight ist, dass es im Spiel mehr als 2 Konstruktionsmethoden gibt. Es wird empfohlen, eine Weile zu warten, um das Spiel wieder einzutreten."
